"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 0-4",4527
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 5-9",11144
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 5-9",5688
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 5-9",5456
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 10-14",9438
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 10-14",4779
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 10-14",4659
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 15-19",8593
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 15-19",4325
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 15-19",4268
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 20-24",8408
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 20-24",4200
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 20-24",4208
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 25-29",7575
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 25-29",3760
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 25-29",3815
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 30-34",6055
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 30-34",2757
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 30-34",3299
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 35-39",5073
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 35-39",2299
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 35-39",2774
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 40-44",4942
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 40-44",2327
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 40-44",2615
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 45-49",4346
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 45-49",2130
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 45-49",2216
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 50-54",3833
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 50-54",1924
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 50-54",1909
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 55-59",3185
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 55-59",1599
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 55-59",1587
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 60-64",2477
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 60-64",1217
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 60-64",1260
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 65-69",1958
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 65-69",914
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 65-69",1044
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 70-74",1385
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 70-74",589
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 70-74",795
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 75-79",872
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 75-79",340
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 75-79",532
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 80-84",377
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 80-84",133
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 80-84",244
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 85-89",109
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 85-89",33
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 85-89",76
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 90-94",18
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 90-94",4
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 90-94",14
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 95-99",1
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 95-99",0
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 95-99",1
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 100+",0
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 100+",0
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 100+",0
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 0-4",7798
